# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTimeAvgNs,1781262947301000000,1781262957509000000,159001.69419795222
AWTEventQueue.dispatchTimeTotalNS,1781262947301000000,1781262957509000000,8231639089
FlushQueue.tasksExecuted,1781262947301000000,1781262957509000000,1465
FlushQueue.queueSize90P,1781262947301000000,1781262957509000000,579
NonBlockingReadAction.failedExecutionsCount,1781262947301000000,1781262957509000000,0
FlushQueue.queueSizeAvg,1781262947301000000,1781262957509000000,206.5631399317406
AWTEventQueue.dispatchTime90PNs,1781262947301000000,1781262957509000000,43775
AWTEventQueue.dispatchTimeMaxNs,1781262947301000000,1781262957509000000,7918845951
AWTEventQueue.dispatchTimeAvgNs,1781262947301000000,1781262957509000000,3806202.9547553095
AWTEventQueue.eventsDispatched,1781262947301000000,1781262957509000000,2166
FlushQueue.waitingTime90PNs,1781262947301000000,1781262957509000000,3657433087
FlushQueue.executionTime90PNs,1781262947301000000,1781262957509000000,86527
NonBlockingReadAction.finalizedExecutionTimeUs,1781262947301000000,1781262957509000000,101180
FlushQueue.executionTimeMaxNs,1781262947301000000,1781262957509000000,98041855
ReadAction.executionsCount,1781262947301000000,1781262957509000000,61417
NonBlockingReadAction.finalizedExecutionsCount,1781262947301000000,1781262957509000000,16
WriteAction.executionsCount,1781262947301000000,1781262957509000000,4
FlushQueue.waitingTimeMaxNs,1781262947301000000,1781262957509000000,5972688895
FlushQueue.queueSizeMax,1781262947301000000,1781262957509000000,615
NonBlockingReadAction.failedExecutionTimeUs,1781262947301000000,1781262957509000000,0
FlushQueue.waitingTimeAvgNs,1781262947301000000,1781262957509000000,1.1953123559576793E9
FilePageCacheLockFree.heapBytesInUse,1781262947301000000,1781262957509000000,0
FilePageCacheLockFree.totalPagesRequested,1781262947301000000,1781262957509000000,0
FilePageCacheLockFree.totalBytesRead,1781262947301000000,1781262957509000000,0
FilePageCache.totalPageDisposalsUs,1781262947301000000,1781262957509000000,1453
FilePageCache.maxRegisteredFiles,1781262947301000000,1781262957509000000,444
FilePageCacheLockFree.totalNativeBytesReclaimed,1781262947301000000,1781262957509000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1781262947301000000,1781262957509000000,1980798
DirectByteBufferAllocator.reclaimed,1781262947301000000,1781262957509000000,43
FilePageCache.totalPageLoadsUs,1781262947301000000,1781262957509000000,208000
StorageLockContext.competingThreads.90P,1781262947301000000,1781262957509000000,3
FilePageCacheLockFree.totalPagesReadMs,1781262947301000000,1781262957509000000,0
FilePageCache.maxCacheSizeInBytes,1781262947301000000,1781262957509000000,173015040
