# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.wait.ms,1781265216057000000,1781265225690000000,0
lexer.LogcatFilter.size.bytes,1781265216057000000,1781265225690000000,0
parser.LogcatFilter.size.bytes,1781265216057000000,1781265225690000000,0
lexer.LogcatFilter.time.ns,1781265216057000000,1781265225690000000,827500
writeAction.median.wait.ms,1781265216057000000,1781265225690000000,0
parser.LogcatFilter.time.ns,1781265216057000000,1781265225690000000,2733209
writeAction.max.wait.ms,1781265216057000000,1781265225690000000,0
writeAction.count,1781265216057000000,1781265225690000000,4
cacheStateStorage.set.counter,1781265216057000000,1781265225690000000,0
cacheStateStorage.get.counter,1781265216057000000,1781265225690000000,10
cacheStateStorage.get.duration,1781265216057000000,1781265225690000000,0
cacheStateStorage.set.duration,1781265216057000000,1781265225690000000,0
FlushQueue.executionTimeMaxNs,1781265216057000000,1781265225690000000,69206015
NonBlockingReadAction.failedExecutionsCount,1781265216057000000,1781265225690000000,0
ReadAction.executionsCount,1781265216057000000,1781265225690000000,61417
AWTEventQueue.dispatchTime90PNs,1781265216057000000,1781265225690000000,29695
FlushQueue.queueSizeAvg,1781265216057000000,1781265225690000000,183.74175126903555
FlushQueue.waitingTimeAvgNs,1781265216057000000,1781265225690000000,1.0447231375025381E9
WriteAction.executionsCount,1781265216057000000,1781265225690000000,4
FlushQueue.waitingTime90PNs,1781265216057000000,1781265225690000000,3422552063
NonBlockingReadAction.finalizedExecutionsCount,1781265216057000000,1781265225690000000,16
FlushQueue.waitingTimeMaxNs,1781265216057000000,1781265225690000000,5737807871
FlushQueue.tasksExecuted,1781265216057000000,1781265225690000000,1576
AWTEventQueue.dispatchTimeMaxNs,1781265216057000000,1781265225690000000,7516192767
AWTEventQueue.eventsDispatched,1781265216057000000,1781265225690000000,2229
NonBlockingReadAction.finalizedExecutionTimeUs,1781265216057000000,1781265225690000000,93937
FlushQueue.executionTime90PNs,1781265216057000000,1781265225690000000,76287
FlushQueue.queueSizeMax,1781265216057000000,1781265225690000000,611
FlushQueue.queueSize90P,1781265216057000000,1781265225690000000,489
NonBlockingReadAction.failedExecutionTimeUs,1781265216057000000,1781265225690000000,0
AWTEventQueue.dispatchTimeAvgNs,1781265216057000000,1781265225690000000,3485540.780619112
AWTEventQueue.dispatchTimeTotalNS,1781265216057000000,1781265225690000000,7772305633
FlushQueue.executionTimeAvgNs,1781265216057000000,1781265225690000000,116420.61421319797
VFS.fileChildByName,1781265216057000000,1781265225690000000,10
VFS.invertedFileNameIndex.requests,1781265216057000000,1781265225690000000,0
VFS.fileByIdCache.hits,1781265216057000000,1781265225690000000,0
VFS.fileByIdCache.misses,1781265216057000000,1781265225690000000,0
jps.global.initialize.library.bridges.after.loading.ms,1781265216057000000,1781265225690000000,5
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1781265216057000000,1781265225690000000,0
jps.global.handle.before.change.events.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.entities.ms,1781265216057000000,1781265225690000000,4
workspaceModel.moduleManagerBridge.load.module.ms,1781265216057000000,1781265225690000000,0
jps.global.get.libraries.ms,1781265216057000000,1781265225690000000,0
jps.library.entities.serializer.save.entities.ms,1781265216057000000,1781265225690000000,0
workspaceModel.do.save.caches.ms,1781265216057000000,1781265225690000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1781265216057000000,1781265225690000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1781265216057000000,1781265225690000000,0
workspaceModel.global.apply.state.to.project.ms,1781265216057000000,1781265225690000000,0
workspaceModel.save.cache.to.file.ms,1781265216057000000,1781265225690000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1781265216057000000,1781265225690000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1781265216057000000,1781265225690000000,0
workspaceModel.global.updates.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1781265216057000000,1781265225690000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1781265216057000000,1781265225690000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1781265216057000000,1781265225690000000,0
jps.library.entities.serializer.load.entities.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1781265216057000000,1781265225690000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1781265216057000000,1781265225690000000,0
workspaceModel.sync.entities.ms,1781265216057000000,1781265225690000000,0
jps.global.get.library.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1781265216057000000,1781265225690000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781265216057000000,1781265225690000000,0
workspaceModel.load.cache.metadata.from.file.ms,1781265216057000000,1781265225690000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1781265216057000000,1781265225690000000,0
workspaceModel.global.updates.count,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781265216057000000,1781265225690000000,0
jps.load.initial.state.ms,1781265216057000000,1781265225690000000,21
workspaceModel.load.cache.from.file.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.instances.count,1781265216057000000,1781265225690000000,3
jps.global.get.library.by.name.ms,1781265216057000000,1781265225690000000,0
jps.global.handle.changed.events.ms,1781265216057000000,1781265225690000000,0
jps.global.initialize.library.bridges.ms,1781265216057000000,1781265225690000000,0
jps.app.storage.content.reader.load.component.ms,1781265216057000000,1781265225690000000,1
jps.save.global.entities.ms,1781265216057000000,1781265225690000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1781265216057000000,1781265225690000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1781265216057000000,1781265225690000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1781265216057000000,1781265225690000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1781265216057000000,1781265225690000000,0
FilePageCache.totalPageLoadsUs,1781265216057000000,1781265225690000000,280421
FilePageCacheLockFree.totalHeapBytesAllocated,1781265216057000000,1781265225690000000,0
FilePageCacheLockFree.totalPagesReadMs,1781265216057000000,1781265225690000000,0
FilePageCacheLockFree.nativeBytesInUse,1781265216057000000,1781265225690000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1781265216057000000,1781265225690000000,25622
FileChannelInterruptsRetryer.totalRetriedAttempts,1781265216057000000,1781265225690000000,0
MappedFileStorage.storages,1781265216057000000,1781265225690000000,0
FilePageCache.maxRegisteredFiles,1781265216057000000,1781265225690000000,444
FilePageCacheLockFree.totalPagesHandedOver,1781265216057000000,1781265225690000000,0
StorageLockContext.competingThreads.avg,1781265216057000000,1781265225690000000,0.1111111111111111
FilePageCacheLockFree.housekeeperTimeSpentMs,1781265216057000000,1781265225690000000,0
FilePageCacheLockFree.totalPagesWriteMs,1781265216057000000,1781265225690000000,0
FilePageCache.disposedBuffers,1781265216057000000,1781265225690000000,168
FilePageCacheLockFree.totalBytesWritten,1781265216057000000,1781265225690000000,0
FilePageCache.totalPageDisposalsUs,1781265216057000000,1781265225690000000,1150
FilePageCacheLockFree.housekeeperTurnsDone,1781265216057000000,1781265225690000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781265216057000000,1781265225690000000,41943040
StorageLockContext.competingThreads.max,1781265216057000000,1781265225690000000,2
